Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,146,900.0,0,900.0,-1,90000.0,0.0,-1,1.0E9,0,90000.0,CRASHED,,682.228,
2,1,390,900.0,0,900.0,-1,90000.0,0.0,-1,1.0E9,1,180000.0,CRASHED,,5.785,
3,2,146,136.731905937,0,900.0,-1,136.731905937,0.0,1,0.0,1,180136.731905937,SAT,,136.757,
4,2,390,900.0,0,900.0,-1,90000.0,0.0,0,0.0,1,270136.73190593696,TIMEOUT,,1881.863,
5,2,241,191.863767862,0,900.0,-1,191.863767862,0.0,1,0.0,1,270328.595673799,SAT,,191.971,
6,3,390,900.0,0,900.0,-1,90000.0,0.0,0,0.0,1,360328.595673799,TIMEOUT,,1881.892,
7,3,241,8.3366560936,0,428.17957682383354,-1,8.3366560936,0.0,1,0.0,1,360336.9323298926,SAT,,8.367,
8,3,146,417.34192404744323,1,417.34192404744323,-1,90000.0,0.0,0,0.0,1,450336.9323298926,TIMEOUT,,1882.654,
9,2,490,900.0,0,900.0,-1,90000.0,0.0,0,0.0,2,540336.9323298926,TIMEOUT,,1881.909,
10,4,146,10.6162919998,0,178.75407781300248,-1,10.6162919998,0.0,1,0.0,2,540347.5486218925,SAT,,10.754,
11,4,241,10.5632331371,0,900.0,-1,10.5632331371,0.0,1,0.0,2,540358.1118550296,SAT,,10.594,
12,4,490,900.0,0,900.0,-1,90000.0,0.0,0,0.0,2,630358.1118550296,TIMEOUT,,1881.922,
13,4,390,900.0,0,900.0,-1,90000.0,0.0,0,0.0,2,720358.1118550296,TIMEOUT,,1881.94,
14,4,531,900.0,0,900.0,-1,90000.0,0.0,0,0.0,2,810358.1118550296,TIMEOUT,,1882.418,
15,5,390,900.0,0,900.0,-1,90000.0,0.0,0,0.0,2,900358.1118550296,TIMEOUT,,1881.978,
16,5,490,900.0,0,900.0,-1,90000.0,0.0,0,0.0,2,990358.1118550296,TIMEOUT,,1882.197,
17,5,241,12.6822161674,0,14.737403996634484,-1,12.6822161674,0.0,1,0.0,2,990370.794071197,SAT,,12.737,
18,4,17,16.0531480312,0,900.0,-1,16.0531480312,0.0,1,0.0,3,990386.8472192283,SAT,,16.095,
19,6,17,15.0027279854,0,21.871692816141252,-1,15.0027279854,0.0,1,0.0,3,990401.8499472137,SAT,,15.275,
20,6,490,900.0,0,900.0,-1,90000.0,0.0,0,0.0,3,1080401.8499472137,TIMEOUT,,1882.368,
21,6,146,12.7758228779,0,16.17192590457499,-1,12.7758228779,0.0,1,0.0,3,1080414.6257700915,SAT,,12.817,
22,4,377,4.30638289452,0,900.0,-1,4.30638289452,0.0,1,0.0,3,1080418.932152986,SAT,,4.323,
23,7,390,900.0,0,900.0,-1,90000.0,0.0,0,0.0,3,1170418.932152986,TIMEOUT,,1881.972,
24,7,531,900.0,0,900.0,-1,90000.0,0.0,0,0.0,3,1260418.932152986,TIMEOUT,,1881.875,
25,7,146,10.304546833,0,14.806379767480493,-1,10.304546833,0.0,1,0.0,3,1260429.236699819,SAT,,10.349,
26,7,241,10.5530669689,0,900.0,-1,10.5530669689,0.0,1,0.0,3,1260439.789766788,SAT,,10.576,
27,7,377,3.87574887276,0,900.0,-1,3.87574887276,0.0,1,0.0,3,1260443.6655156608,SAT,,3.892,
28,7,490,900.0,0,900.0,-1,90000.0,0.0,0,0.0,3,1350443.6655156608,TIMEOUT,,1881.975,
29,7,17,19.9867320061,0,22.857801931324605,-1,19.9867320061,0.0,1,0.0,3,1350463.6522476668,SAT,,20.008,
30,4,560,4.08562994003,0,900.0,-1,4.08562994003,0.0,1,0.0,4,1350467.7378776069,SAT,,4.125,
31,8,17,21.2133510113,0,21.871692816141252,-1,21.2133510113,0.0,1,0.0,4,1350488.9512286182,SAT,,21.281,
32,4,522,900.0,0,900.0,-1,90000.0,0.0,0,0.0,4,1440488.9512286182,TIMEOUT,,1881.934,
33,9,377,6.34989213943,0,6.6008978042483335,-1,6.34989213943,0.0,1,0.0,4,1440495.3011207576,SAT,,6.395,
34,4,282,5.41067218781,0,900.0,-1,5.41067218781,0.0,1,0.0,5,1440500.7117929454,SAT,,5.45,
35,8,522,881.643106937,0,900.0,-1,881.643106937,0.0,1,0.0,5,1441382.3548998823,SAT,,881.676,
36,8,146,15.0947878361,0,900.0,-1,15.0947878361,0.0,1,0.0,5,1441397.4496877184,SAT,,15.115,
37,8,560,4.4282348156,0,900.0,-1,4.4282348156,0.0,1,0.0,5,1441401.877922534,SAT,,4.474,
38,8,531,881.877150059,0,900.0,-1,881.877150059,0.0,1,0.0,5,1442283.755072593,SAT,,881.916,
39,8,377,4.46496081352,0,900.0,-1,4.46496081352,0.0,1,0.0,5,1442288.2200334065,SAT,,4.497,
40,8,390,881.760563135,0,900.0,-1,881.760563135,0.0,1,0.0,5,1443169.9805965414,SAT,,881.798,
41,8,241,22.0376598835,0,900.0,-1,22.0376598835,0.0,1,0.0,5,1443192.018256425,SAT,,22.076,
42,8,490,881.66253686,0,900.0,-1,881.66253686,0.0,1,0.0,5,1444073.680793285,SAT,,881.707,
43,8,282,5.28228902817,0,900.0,-1,5.28228902817,0.0,1,0.0,5,1444078.963082313,SAT,,5.328,
44,8,312,4.93512892723,0,900.0,-1,4.93512892723,0.0,1,0.0,5,1444083.8982112403,SAT,,4.997,
45,10,241,900.0,0,29.65155850012899,-1,90000.0,0.0,-1,1.0E9,5,1534083.8982112403,CRASHED,,119.552,
46,8,163,32.3925178051,0,900.0,-1,32.3925178051,0.0,1,0.0,6,1534116.2907290454,SAT,,32.802,
47,11,146,28.3850588799,0,20.625824833634496,-1,28.3850588799,0.0,1,0.0,6,1534144.6757879253,SAT,,28.452,
48,8,204,45.7029230595,0,900.0,-1,45.7029230595,0.0,1,0.0,6,1534190.3787109847,SAT,,45.754,
49,12,282,22.1942310333,0,7.869576465684176,-1,22.1942310333,0.0,1,0.0,6,1534212.572942018,SAT,,22.289,
50,8,168,47.7952730656,0,900.0,-1,47.7952730656,0.0,1,0.0,7,1534260.3682150836,SAT,,47.823,
51,13,146,13.4245009422,0,20.625824833634496,-1,13.4245009422,0.0,1,0.0,7,1534273.7927160258,SAT,,13.519,
52,13,390,882.28437686,0,900.0,-1,882.28437686,0.0,1,0.0,7,1535156.0770928857,SAT,,882.386,
53,13,282,5.33373689651,0,9.362591736364365,-1,5.33373689651,0.0,1,0.0,7,1535161.4108297823,SAT,,5.374,
54,13,560,4.35101294518,0,118.23921535943748,-1,4.35101294518,0.0,1,0.0,7,1535165.7618427274,SAT,,4.373,
55,13,163,23.9626278877,0,112.5828992280841,-1,23.9626278877,0.0,1,0.0,7,1535189.7244706152,SAT,,24.009,
56,13,168,36.1672320366,0,81.43148258176744,-1,36.1672320366,0.0,1,0.0,7,1535225.8917026517,SAT,,36.201,
57,13,377,4.04593586922,0,34.41408153471649,-1,4.04593586922,0.0,1,0.0,7,1535229.937638521,SAT,,4.081,
58,13,531,881.881047964,0,900.0,-1,881.881047964,0.0,1,0.0,7,1536111.818686485,SAT,,881.925,
59,13,204,31.0787510872,0,900.0,-1,31.0787510872,0.0,1,0.0,7,1536142.8974375722,SAT,,31.112,
60,13,312,4.58934998512,0,900.0,-1,4.58934998512,0.0,1,0.0,7,1536147.4867875574,SAT,,4.624,
61,13,17,12.520663023,0,900.0,-1,12.520663023,0.0,1,0.0,7,1536160.0074505804,SAT,,12.559,
62,13,522,882.295503855,0,900.0,-1,882.295503855,0.0,1,0.0,7,1537042.3029544353,SAT,,882.337,
63,13,241,16.1886880398,0,900.0,-1,16.1886880398,0.0,1,0.0,7,1537058.4916424751,SAT,,16.255,
64,13,490,882.2397542,0,900.0,-1,882.2397542,0.0,1,0.0,7,1537940.731396675,SAT,,882.285,
65,13,318,6.33157896996,0,900.0,-1,6.33157896996,0.0,1,0.0,7,1537947.062975645,SAT,,6.548,
66,14,312,11.5468811989,0,6.9687551431089645,-1,11.5468811989,0.0,1,0.0,7,1537958.609856844,SAT,,11.577,
67,13,425,5.22319698334,0,900.0,-1,5.22319698334,0.0,1,0.0,8,1537963.8330538273,SAT,,5.248,
68,15,390,881.965341091,0,900.0,-1,881.965341091,0.0,1,0.0,8,1538845.7983949182,SAT,,882.088,
69,15,312,5.10911202431,0,28.43139638972581,-1,5.10911202431,0.0,1,0.0,8,1538850.9075069425,SAT,,5.205,
70,15,241,21.93400383,0,21.789550835612417,-1,21.93400383,0.0,1,0.0,8,1538872.8415107725,SAT,,22.069,
71,13,82,77.4264669418,0,900.0,-1,77.4264669418,0.0,1,0.0,8,1538950.2679777143,SAT,,77.458,
72,16,146,900.0,0,18.4544517457217,-1,185.17685,0.0,-1,1.0E9,8,1539135.4448277142,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,194.923,
