Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,68,97.4874999523,0,2000.0,-1,97.4874999523,0.0,2,0.0,0,97.4874999523,UNSAT,,97.714,
2,1,155,269.136756182,0,2000.0,-1,269.136756182,0.0,2,0.0,1,366.6242561343,UNSAT,,269.341,
3,2,68,13.4892239571,0,127.73635023121835,-1,13.4892239571,0.0,2,0.0,1,380.11348009140005,UNSAT,,13.579,
4,2,155,1802.64223099,0,460.07944297825094,-1,1802.64223099,0.0,2,0.0,1,2182.7557110814,UNSAT,,1802.716,
5,1,113,34.3868591785,0,2000.0,-1,34.3868591785,0.0,2,0.0,1,2217.1425702599,UNSAT,,34.502,
6,3,155,1801.832412,0,350.88038396869894,-1,1801.832412,0.0,2,0.0,1,4018.9749822598997,UNSAT,,1801.87,
7,1,243,983.659744978,0,2000.0,-1,983.659744978,0.0,1,0.0,2,5002.6347272379,SAT,,983.696,
8,4,68,64.1233830452,0,127.73635023121835,-1,64.1233830452,0.0,2,0.0,2,5066.7581102831,UNSAT,,64.181,
9,4,113,1801.67189002,0,1367.8391378264607,-1,1801.67189002,0.0,2,0.0,2,6868.4300003031,UNSAT,,1801.724,
10,1,193,27.8781590462,0,2000.0,-1,27.8781590462,0.0,1,0.0,2,6896.308159349301,SAT,,27.935,
11,5,243,1806.1335969,0,1279.7602690648018,-1,1806.1335969,0.0,1,0.0,2,8702.4417562493,SAT,,1806.255,
12,1,11,679.009041071,0,2000.0,-1,679.009041071,0.0,2,0.0,3,9381.4507973203,UNSAT,,679.061,
13,6,68,122.403856993,0,127.73635023121835,-1,122.403856993,0.0,2,0.0,3,9503.8546543133,UNSAT,,122.468,
14,1,123,12.7276799679,0,2000.0,-1,12.7276799679,0.0,2,0.0,3,9516.5823342812,UNSAT,,12.758,
15,7,113,2000.0,0,45.70551737059951,-1,457.6663,0.0,-1,1.0E9,3,9974.2486342812,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,481.754,
16,1,173,160.618424177,0,2000.0,-1,160.618424177,0.0,2,0.0,4,10134.867058458201,UNSAT,,160.657,
