Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1163,335.560106993,0,2000.0,-1,335.560106993,0.0,1,0.0,0,335.560106993,SAT,,335.802,
2,1,1906,1338.12046695,0,2000.0,-1,1338.12046695,0.0,1,0.0,1,1673.6805739430001,SAT,,1338.189,
3,2,1906,2091.32039189,0,1740.5592074509443,-1,2091.32039189,0.0,1,0.0,1,3765.000965833,SAT,,2091.435,
4,1,38,1472.714715,0,2000.0,-1,1472.714715,0.0,1,0.0,1,5237.715680833,SAT,,1472.765,
5,3,1163,45.7466359138,0,437.23074019734855,-1,45.7466359138,0.0,1,0.0,1,5283.4623167468,SAT,,45.851,
6,3,1906,457.33632493,0,2000.0,-1,457.33632493,0.0,1,0.0,1,5740.7986416768,SAT,,457.417,
7,3,38,1804.20261693,0,2000.0,-1,1804.20261693,0.0,1,0.0,1,7545.0012586068,SAT,,1804.257,
8,3,1739,35.1032350063,0,2000.0,-1,35.1032350063,0.0,1,0.0,2,7580.104493613099,SAT,,35.178,
9,4,38,1804.31557202,0,2000.0,-1,1804.31557202,0.0,1,0.0,2,9384.4200656331,SAT,,1804.363,
10,3,826,5.42728900909,0,2000.0,-1,5.42728900909,0.0,1,0.0,2,9389.84735464219,SAT,,5.463,
11,5,826,19.9813449383,0,8.058075782257319,-1,19.9813449383,0.0,1,0.0,2,9409.82869958049,SAT,,20.042,
12,3,1193,6.33049297333,0,2000.0,-1,6.33049297333,0.0,1,0.0,3,9416.15919255382,SAT,,6.355,
13,6,1193,6.62662982941,0,9.232241090732813,-1,6.62662982941,0.0,1,0.0,3,9422.78582238323,SAT,,6.661,
14,3,925,11.6847789288,0,2000.0,-1,11.6847789288,0.0,1,0.0,3,9434.47060131203,SAT,,11.713,
15,7,1906,293.884517908,0,595.5398230705142,-1,293.884517908,0.0,1,0.0,3,9728.35511922003,SAT,,293.92,
16,7,1739,1816.09734797,0,266.1822310540557,-1,1816.09734797,0.0,1,0.0,3,11544.45246719003,SAT,,1816.121,
17,3,1469,1820.81786895,0,2000.0,-1,1820.81786895,0.0,1,0.0,4,13365.27033614003,SAT,,1820.916,
18,8,1193,35.1347708702,0,9.232241090732813,-1,35.1347708702,0.0,1,0.0,4,13400.40510701023,SAT,,35.203,
19,3,2121,1327.94355202,0,2000.0,-1,1327.94355202,0.0,1,0.0,4,14728.348659030231,SAT,,1328.018,
20,9,1739,29.3941140175,0,46.636806324470044,-1,29.3941140175,0.0,1,0.0,4,14757.74277304773,SAT,,29.493,
21,9,1163,26.0185549259,0,662.434907339859,-1,26.0185549259,0.0,1,0.0,4,14783.76132797363,SAT,,26.045,
22,9,1906,1041.63495207,0,628.6107854809344,-1,1041.63495207,0.0,1,0.0,4,15825.396280043631,SAT,,1041.654,
