Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,38,4.12363290787,0,2000.0,-1,4.12363290787,0.0,1,0.0,0,4.12363290787,SAT,,4.237,
2,1,106,3.54873299599,0,2000.0,-1,3.54873299599,0.0,1,0.0,1,7.67236590386,SAT,,3.57,
3,2,38,3.8441119194,0,6.363322947520018,-1,3.8441119194,0.0,1,0.0,1,11.51647782326,SAT,,3.88,
4,2,106,5.17007112503,0,5.98063030128479,-1,5.17007112503,0.0,1,0.0,1,16.68654894829,SAT,,5.207,
5,1,95,4.28234004974,0,2000.0,-1,4.28234004974,0.0,1,0.0,1,20.96888899803,SAT,,4.324,
6,3,95,3.56774616241,0,6.569642842161656,-1,3.56774616241,0.0,1,0.0,1,24.53663516044,SAT,,3.598,
7,3,38,3.69599485397,0,11.908248056071997,-1,3.69599485397,0.0,1,0.0,1,28.23263001441,SAT,,3.73,
8,3,106,4.7884581089,0,7.103455055850745,-1,4.7884581089,0.0,1,0.0,1,33.02108812331,SAT,,4.834,
9,1,128,5.0232629776,0,2000.0,-1,5.0232629776,0.0,1,0.0,2,38.04435110091,SAT,,5.117,
10,4,38,3.59779000282,0,6.363322947520018,-1,3.59779000282,0.0,1,0.0,2,41.64214110373,SAT,,3.625,
11,4,106,3.84534287453,0,12.832391344356537,-1,3.84534287453,0.0,1,0.0,2,45.487483978259995,SAT,,3.882,
12,4,128,3.64831781387,0,7.833444968211651,-1,3.64831781387,0.0,1,0.0,2,49.135801792129996,SAT,,3.672,
13,4,95,3.84741902351,0,8.658973954963685,-1,3.84741902351,0.0,1,0.0,2,52.983220815639996,SAT,,3.874,
14,4,5,6.01197719574,0,2000.0,-1,6.01197719574,0.0,2,0.0,2,58.99519801138,UNSAT,,6.037,
15,5,38,3.4838719368,0,5.679727800536155,-1,3.4838719368,0.0,1,0.0,2,62.47906994818,SAT,,3.525,
16,5,95,3.65188217163,0,11.153885152536631,-1,3.65188217163,0.0,1,0.0,2,66.13095211981,SAT,,3.678,
17,5,106,66.0516309738,0,6.4064378741860395,-1,66.0516309738,0.0,1,0.0,2,132.18258309361,SAT,,66.084,
18,4,18,4.63764810562,0,2000.0,-1,4.63764810562,0.0,2,0.0,3,136.82023119923,UNSAT,,4.676,
19,6,106,48.3551020622,0,6.001546688723564,-1,48.3551020622,0.0,1,0.0,3,185.17533326142998,SAT,,48.381,
20,4,100,7.16889190674,0,2000.0,-1,7.16889190674,0.0,2,0.0,3,192.34422516816997,UNSAT,,7.193,
21,7,38,4.32025098801,0,5.679727800536155,-1,4.32025098801,0.0,1,0.0,3,196.66447615617997,SAT,,4.353,
22,4,126,4.40900087357,0,2000.0,-1,4.40900087357,0.0,1,0.0,4,201.07347702974997,SAT,,4.45,
23,8,128,4.09969806671,0,5.7454141679883,-1,4.09969806671,0.0,1,0.0,4,205.17317509645997,SAT,,4.132,
24,4,88,4.36671519279,0,2000.0,-1,4.36671519279,0.0,1,0.0,4,209.53989028924997,SAT,,4.397,
25,9,18,5.85168385506,0,7.0315431695163255,-1,5.85168385506,0.0,2,0.0,4,215.39157414430997,UNSAT,,5.89,
26,4,69,4.86943793297,0,2000.0,-1,4.86943793297,0.0,2,0.0,5,220.26101207727996,UNSAT,,4.906,
27,10,95,4.45130109787,0,6.004245382148027,-1,4.45130109787,0.0,1,0.0,5,224.71231317514994,SAT,,4.475,
28,4,60,5.20723414421,0,2000.0,-1,5.20723414421,0.0,1,0.0,5,229.91954731935994,SAT,,5.231,
29,11,38,4.0603120327,0,5.679727800536155,-1,4.0603120327,0.0,1,0.0,5,233.97985935205995,SAT,,4.102,
30,4,148,5.12425899506,0,2000.0,-1,5.12425899506,0.0,1,0.0,6,239.10411834711994,SAT,,5.151,
31,12,5,7.7225921154,0,8.81817144190073,-1,7.7225921154,0.0,2,0.0,6,246.82671046251994,UNSAT,,7.754,
32,4,137,4.13722801208,0,2000.0,-1,4.13722801208,0.0,1,0.0,6,250.96393847459993,SAT,,4.173,
33,13,69,4.75825500488,0,7.33286942203641,-1,4.75825500488,0.0,2,0.0,6,255.72219347947993,UNSAT,,4.805,
34,13,95,4.66359782219,0,15.470942285257578,-1,4.66359782219,0.0,1,0.0,6,260.38579130166994,SAT,,4.705,
35,13,100,7.83708190918,0,9.408265155154467,-1,7.83708190918,0.0,2,0.0,6,268.2228732108499,UNSAT,,7.868,
36,4,3,5.92563486099,0,2000.0,-1,5.92563486099,0.0,2,0.0,7,274.1485080718399,UNSAT,,5.953,
