1,2.0,2.0,0.0305328369140625,1.0,1.0,1.0,2.0,2.0,1.0
2,1.0,2.0,0.4821929931640625,2.0,2.0,1.0,1.0,2.0,1.0
3,2.0,2.0,0.1948699951171875,1.0,2.0,1.0,3.0,2.0,1.0
4,2.0,1.0,0.5842437744140625,2.0,2.0,2.0,2.0,1.0,1.0
5,1.0,1.0,0.7682647705078125,2.0,1.0,2.0,2.0,2.0,1.0
6,2.0,1.0,0.2000579833984375,1.0,1.0,1.0,3.0,2.0,1.0
7,1.0,2.0,0.1944732666015625,1.0,1.0,2.0,2.0,2.0,1.0
8,1.0,2.0,0.6524810791015625,1.0,1.0,2.0,2.0,1.0,1.0
9,2.0,1.0,0.9473724365234375,1.0,1.0,1.0,3.0,2.0,1.0
10,2.0,2.0,0.9296722412109375,1.0,2.0,2.0,1.0,2.0,1.0
11,2.0,2.0,0.1121978759765625,2.0,1.0,2.0,1.0,2.0,1.0
12,2.0,2.0,0.6167755126953125,2.0,2.0,1.0,3.0,2.0,1.0
13,1.0,2.0,0.5721893310546875,1.0,2.0,2.0,2.0,2.0,1.0
14,1.0,1.0,0.3381805419921875,1.0,1.0,2.0,3.0,1.0,1.0
15,1.0,2.0,0.9339141845703125,1.0,2.0,1.0,3.0,2.0,1.0
16,1.0,2.0,0.8923492431640625,1.0,1.0,1.0,2.0,2.0,1.0
